Year,State code,Percentage of US states’ job postings in AI,State,Percentage of United States AI job postings,Relative AI hiring rate year-over-year ratio,Date,Relative AI hiring year-over-year ratio,country,Percentage of US states' job postings in AI,year,Country,Number of industrial robots (in thousands),Average investment (in millions of US dollars)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
